Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Barbados	BRB	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																															14.79673114	12.54162029	15.03547201	13.8603341	18.61933396	13.58556802	14.41252983	12.87226993	15.81612425	14.92774289	14.28313855	11.67020909	11.94206149	14.22910843	10.14585643	8.27411745	13.42354375	12.94013749	7.224818159	8.52898388	3.074557555	-4.590665136	0.416704537	-3.140261183				
Brunei Darussalam	BRN	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																										43.01365891	45.22844844	46.89660797	46.00097433	50.3055897	53.41084774	49.68300008	61.57762332	50.64518619	60.59990522	62.46427226	64.20623464	61.12007284	62.30001043	54.01765972	46.75885673	
Bhutan	BTN	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																															53.25759399	28.97234663	34.72330418	31.30922113	35.77270559	42.28279107	51.63107816	26.11012529	30.87786768	22.56365889	33.19712117	
Botswana	BWA	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																20.25510739	21.66939694	22.2357154	22.78366543	29.80392056	28.69994628	27.87379793	26.64129185	29.91902246	27.91966544	35.50032903	39.37190144	43.98722593	53.38249697	51.97179621	42.8440488	44.29022897	40.3060465	40.95061215	31.27673883	32.92768229	40.74042839	39.47376885	41.15606498	38.75380739	41.47986186	42.06349256	38.84899622	42.25224929	38.41359025	46.32620577	47.92101917	51.62597942	37.4137607	28.49263435	40.36239454	41.08753984	39.59789034	39.254763	44.15109454	41.13945886	43.98348216	
Central African Republic	CAF	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																		7.8386472	6.90933348	7.577202413	1.600577879	8.099345368	0.98037851	7.504686128	7.171917226	11.56797299	8.727350532	8.505319379	10.80262847	12.21037266	11.0517635	9.65415525	9.949593493	12.43038482	15.47010266																							
Canada	CAN	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS						24.23239942	25.00768538	23.12108604	22.68845501	22.49492736	23.29976312	23.44116965	22.897299	24.77717136	25.32348604	22.56267284	23.02980678	22.33587762	21.71033823	23.56346191	23.30189453	23.56044439	21.07987728	21.1035143	21.89678143	21.29286908	19.94171334	20.77008298	21.62885562	20.83054691	18.43002444	15.83691619	14.80546717	15.49124816	17.60560777	19.65748945	20.2178958	20.7482983	20.42005468	21.70090886	24.34781185	23.29371146	22.21557152	22.41097045	24.16207005	24.92185369	25.01986161	24.82999205	24.6416465	18.9178446	19.79358715	21.31289931	21.32847177	21.91575397	22.17548836	20.02757393	19.24422282	
Central Europe and the Baltics	CEB	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																					38.33210547	36.42397572	35.20584546	33.43848261	35.40697564	31.9664736	32.33158773	30.67610851	33.2986973		19.18158146	17.44755597	13.93647924	16.79390172	20.64217685	21.7264779	21.51686248	21.57280966	22.02363277	20.59814885	20.79998042	20.59332393	19.89682989	19.28362403	19.22643507	20.05368221	20.59316313	21.16434627	21.26823699	20.12949117	19.99751143	20.95148453	21.05945509	22.10088205	22.51275077	23.40999284	22.9321107	
Switzerland	CHE	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																					31.55030963	32.24510304	31.31931862	30.5626074	32.39991971	32.80261705	32.39588881	32.04664179	33.50330638	33.66672663	33.6148983	31.75333104	29.77031299	30.26268404	30.44247606	30.53699758	29.85433956	31.03192616	31.60644344	31.5389827	34.09309137	31.85425838	30.48786728	33.01684114	33.56992939	34.60333492	36.74746125	34.42739587	29.36588662	33.35131121	36.63765219	34.26209914	34.63927353	33.97494566	32.26847834	33.38836067	32.7503068	
Channel Islands	CHI	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																																																										
Chile	CHL	Gross savings (% of GNI)	NY.GNS.ICTR.GN.ZS																8.524419741	15.0149196	11.32934791	12.90476479	12.96498895	14.76483796	9.065074587	2.30019915	6.707102097	8.717984815	9.079333856	12.8569806	18.88689662	24.41434498	25.92514998	25.67388984	24.79486837	24.3919055	24.16768975	24.55929656	27.4019943	24.60234005	24.05102969	22.48762122	21.67260652	21.83394834	22.04324309	22.37283996	22.06865132	24.50164522	25.50830534	28.8430834	28.35062748	24.66332073	24.51340353	26.35383657	24.47617885	23.51701712	22.45155865	22.31411125	21.95881464	20.78542163	
